"x"
1611.86
911.89
939.28
1570.04
1562.43
1547.96
1557.28
1586.02
688.22
168.92
1287.08
1618.42
1683.21
1647.18
1723.23
863.54
619.67
1480.98
1615.86
1618
1762.44
1443.2
732.09
156.61
1344.64
1604.5
1544.19
885.3
1471.3
967.05
887.67
1431.11
1635.27
1665.07
1745.85
1575.97
977.6
924.92
1394.12
1664.83
1702.22
1646.83
1651.19
1200.93
1313.53
1955.82
1892.63
1788.39
1784.71
1671.87
654.37
202.74
1363.62
1518.38
1318.01
1681.99
1510.35
1169.67
1290.77
1721.97
