"","lambda1","lambda2","lambda3","lambda4","init1","init2","init3","init4","transP11","transP21","transP31","transP41","transP12","transP22","transP32","transP42","transP13","transP23","transP33","transP43","transP14","transP24","transP34","transP44"
"truth",1,3,5,7,0.1,0.3,0.2,0.4,0.1,0.15,0.22,0.08,0.2,0.4,0.32,0.42,0.25,0.15,0.2,0.3,0.45,0.3,0.26,0.2
"bias",-0.0597531000243005,0.0687325507433045,0.115610281530709,0.666597879881236,0.100008819578879,-0.0337214403117724,0.0221523069838711,-0.0884396862509771,0.0137116791357574,0.0659532649952691,0.0771543120906758,0.0287306195100426,0.0167994012785484,-0.0752573002290924,-0.0320543034753668,-0.0897372125191102,0.0321557532928916,0.0189226573191267,0.0176536633300677,0.141724330836707,-0.0626668337071974,-0.0096186220853034,-0.0627536719453768,-0.0807177378276395
"variance",0.468348266447572,0.630122458418895,1.14729835826825,2.4387368636418,0.157480977179671,0.191640186995194,0.169030182959548,0.210708885591384,0.0318001817677993,0.0808849059568466,0.108267149824366,0.0430623488313888,0.098286794665426,0.10008181374377,0.108321882391086,0.12038956874951,0.126727476677847,0.0707288907178817,0.0802168802330081,0.124702913212874,0.14026907109912,0.102849223401876,0.0778390385052616,0.0359051038359262
"MSE",0.471918699410086,0.634846621950576,1.16066409546386,2.88308959710396,0.167482741173232,0.192777322531894,0.169520907664256,0.218530463695555,0.0319881919125213,0.0852347391203827,0.114219937698551,0.0438877973288196,0.0985690145487437,0.105745474981542,0.109349360762377,0.12844233606021,0.127761469147681,0.0710869576778988,0.0805285320619795,0.144788699163987,0.144196203146006,0.102941741292696,0.0817770618478895,0.0424204570359377
