"","t=1","t=2","t=3","t=4","t=5","t=6","t=7","t=8","t=9","t=10","t=11","t=12","t=13","t=14","t=15","t=16","t=17","t=18","t=19","t=20","t=21","t=22","t=23","t=24","t=25","t=26","t=27","t=28","t=29","t=30","t=31","t=32","t=33","t=34","t=35","t=36","t=37","t=38","t=39","t=40","t=41","t=42","t=43","t=44","t=45","t=46","t=47","t=48","t=49","t=50","t=51","t=52","t=53","t=54","t=55","t=56","t=57","t=58","t=59","t=60","accuracy"
"iRep=1",3,4,3,2,2,1,4,3,4,3,2,2,2,2,1,4,3,4,3,4,3,4,3,4,3,4,3,2,1,4,3,2,1,4,3,2,1,4,3,4,3,4,3,2,2,1,4,3,2,2,1,4,3,2,2,1,3,2,1,4,0.466666666666667
"iRep=2",4,2,4,2,4,2,1,4,1,2,4,2,4,2,1,2,4,2,4,1,1,4,2,1,4,1,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.333333333333333
"iRep=3",4,3,4,3,4,3,4,3,2,1,2,1,3,4,3,4,3,2,1,3,2,1,2,1,2,1,3,4,3,2,1,2,1,2,1,3,4,3,1,2,1,2,1,3,4,3,4,3,1,3,4,3,4,3,2,1,2,1,2,1,0.45
"iRep=4",1,2,2,2,2,2,4,4,2,2,4,3,3,3,3,3,3,3,3,1,1,2,2,4,2,4,4,4,2,2,2,4,2,2,4,4,2,4,4,2,2,4,2,4,4,2,4,2,4,4,2,2,4,2,4,2,2,4,4,2,0.433333333333333
"iRep=5",4,2,2,2,1,3,2,1,3,4,2,1,3,4,2,2,1,3,2,1,3,2,2,1,3,2,2,1,3,1,3,4,2,1,3,2,2,2,2,2,2,2,1,3,4,2,1,3,2,2,1,3,2,2,2,2,2,2,2,1,0.4
"iRep=6",3,1,4,3,1,4,2,1,4,3,1,4,3,3,1,3,1,4,2,1,4,3,1,4,3,1,4,2,1,4,3,3,1,3,1,4,3,1,4,2,1,3,1,4,3,1,3,1,4,3,3,1,4,3,3,1,4,3,3,1,0.466666666666667
"iRep=7",1,2,4,4,3,2,1,2,1,2,1,2,1,2,2,1,2,4,4,4,4,4,4,4,3,2,1,2,1,2,2,4,4,4,4,4,4,4,4,4,3,2,1,2,2,1,1,2,4,4,4,4,3,2,1,2,4,4,4,4,0.483333333333333
"iRep=8",2,4,4,4,4,3,4,4,2,1,1,3,4,2,4,2,1,3,4,4,3,4,4,2,1,1,1,1,1,3,4,2,1,1,1,3,4,2,4,4,2,4,3,4,3,4,2,4,4,2,1,3,4,4,4,2,4,2,4,4,0.416666666666667
"iRep=9",2,2,2,3,4,1,1,3,4,3,1,3,4,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,4,3,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.433333333333333
"iRep=10",1,3,2,1,3,4,3,2,1,3,2,1,3,4,3,2,1,3,4,3,2,2,1,3,4,3,2,1,3,2,1,3,4,3,2,1,3,4,3,2,1,3,2,2,1,3,4,3,2,1,3,2,1,3,2,1,3,4,3,4,0.333333333333333
"iRep=11",1,2,4,3,1,2,4,3,3,3,3,3,3,1,2,4,3,3,3,3,2,4,3,2,4,3,3,2,4,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,2,4,3,3,1,2,2,4,2,4,3,1,4,3,3,3,0.45
"iRep=12",3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,1,1,2,2,2,2,2,2,2,4,3,1,2,2,2,2,2,2,2,2,4,3,1,1,2,2,2,2,4,3,0.55
"iRep=13",2,3,1,4,2,2,2,2,3,1,4,2,2,2,2,3,4,2,2,2,2,3,1,4,2,3,4,2,3,1,4,2,2,2,2,3,1,4,2,2,2,2,3,1,4,2,3,1,4,2,3,1,1,1,4,2,2,2,2,2,0.483333333333333
"iRep=14",4,2,2,1,3,3,4,4,3,1,3,3,1,3,1,3,4,3,4,4,4,4,3,4,4,2,2,1,3,1,3,1,3,4,3,4,4,4,4,4,3,4,4,3,3,1,3,3,1,4,2,1,3,1,3,3,1,3,1,4,0.533333333333333
"iRep=15",1,1,4,2,4,2,4,4,4,2,4,2,4,2,1,3,3,3,3,3,3,1,4,2,1,1,4,2,4,2,4,4,2,1,4,2,4,4,2,4,4,4,2,4,2,1,3,1,3,3,3,3,3,3,3,3,1,4,4,2,0.5
"iRep=16",1,2,4,3,1,2,2,2,2,2,2,2,2,2,2,2,4,1,4,3,3,1,4,1,4,1,2,2,2,2,2,4,3,3,1,2,2,2,2,2,2,2,4,3,1,4,3,1,2,4,3,1,2,2,2,2,2,2,2,2,0.45
"iRep=17",4,3,3,1,3,1,3,1,3,1,3,3,1,3,1,3,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.5
"iRep=18",3,2,3,2,1,3,2,1,3,2,1,3,2,3,2,1,3,2,1,3,2,1,3,2,3,2,1,3,2,1,3,4,3,2,3,2,1,3,2,3,4,1,3,2,3,2,1,3,2,3,2,3,4,1,3,2,3,2,3,2,0.483333333333333
"iRep=19",3,1,2,2,2,2,4,3,1,4,4,3,1,4,3,1,2,2,3,1,1,4,3,1,1,4,3,1,4,3,1,4,3,1,2,2,2,2,2,2,3,1,4,3,1,4,3,1,1,2,2,2,2,2,2,2,2,2,2,2,0.533333333333333
"iRep=20",2,2,2,2,2,2,2,2,2,2,2,2,1,3,4,1,3,4,4,1,1,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,4,3,4,1,3,4,4,4,1,3,4,4,4,4,3,4,4,1,3,0.533333333333333
"iRep=21",2,1,3,4,2,4,2,1,3,4,2,4,2,4,3,4,2,1,3,2,4,2,4,2,4,3,4,3,2,1,3,4,2,4,2,4,3,4,1,3,4,3,4,2,1,3,2,1,3,2,4,2,4,2,4,2,4,2,4,3,0.466666666666667
"iRep=22",4,2,3,4,2,3,4,2,2,2,3,4,2,4,2,2,2,2,2,2,2,2,2,2,3,4,2,3,4,2,2,3,4,2,2,2,3,4,2,2,2,2,2,1,1,1,3,4,2,2,3,4,2,3,1,3,4,2,1,3,0.416666666666667
"iRep=23",2,3,1,4,4,2,3,1,2,3,1,4,4,4,2,3,1,2,3,1,1,2,3,1,1,2,3,1,4,4,2,3,1,4,4,2,3,1,2,3,1,1,1,2,3,1,2,3,1,2,3,1,4,4,2,3,1,4,2,3,0.333333333333333
"iRep=24",3,4,3,4,3,4,3,4,1,3,2,2,2,2,2,2,2,1,3,4,3,2,2,2,2,4,3,4,3,1,3,1,3,4,1,3,4,3,4,3,4,3,4,3,4,3,1,3,1,3,4,3,1,3,4,1,3,1,3,4,0.483333333333333
"iRep=25",2,4,3,3,1,1,1,2,4,3,1,1,1,1,2,4,2,4,3,1,2,4,2,4,2,4,3,1,1,1,1,2,4,3,1,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,3,1,1,1,1,1,1,2,4,0.433333333333333
"iRep=26",3,4,2,3,4,2,3,3,4,2,2,3,4,2,3,3,3,4,2,3,3,4,2,3,3,4,2,3,3,4,2,3,4,2,1,4,2,3,3,4,2,3,3,4,2,3,4,2,1,4,2,3,4,2,2,3,4,2,3,4,0.5
"iRep=27",1,1,1,1,1,4,3,3,2,2,4,3,2,2,2,2,2,2,4,3,2,2,4,3,3,3,2,4,3,2,4,3,2,4,3,2,2,2,2,4,3,3,2,2,4,3,3,2,4,3,3,3,3,2,2,2,4,4,3,3,0.483333333333333
"iRep=28",2,4,3,2,4,4,3,2,4,3,2,1,3,2,1,3,2,4,4,3,2,1,3,3,2,4,3,2,1,3,2,1,3,2,4,4,3,2,4,4,3,2,4,4,3,2,1,3,2,4,4,4,4,3,2,4,4,3,2,4,0.5
"iRep=29",2,1,3,4,2,1,3,4,2,3,4,3,1,3,1,3,4,2,1,3,1,3,4,2,3,4,2,3,4,2,1,3,4,3,4,2,1,3,1,3,1,3,4,2,3,4,2,1,3,4,2,1,3,4,2,3,4,2,3,1,0.366666666666667
"iRep=30",4,2,1,1,1,3,3,3,3,4,2,2,2,4,4,2,4,2,2,2,4,4,2,4,2,2,2,4,2,4,2,4,2,2,4,2,4,2,2,4,2,2,2,1,1,3,3,4,2,1,3,4,2,4,4,2,2,4,2,4,0.566666666666667
"iRep=31",4,3,1,3,1,3,1,2,2,2,2,2,2,2,2,2,4,4,3,1,3,4,3,1,4,3,1,4,4,3,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,4,3,1,4,3,4,4,3,1,4,3,4,3,1,3,0.483333333333333
"iRep=32",1,4,3,3,2,2,1,4,3,3,2,2,1,4,3,2,1,4,2,1,4,3,2,2,1,4,2,1,4,3,2,1,4,3,3,2,1,2,1,4,3,2,1,4,3,2,1,2,2,1,4,2,1,4,3,2,1,4,3,2,0.433333333333333
"iRep=33",2,4,4,3,2,3,2,3,2,3,2,3,2,3,2,4,3,2,4,3,2,4,3,2,4,3,2,1,2,1,2,4,4,4,3,2,4,4,3,2,4,3,2,3,2,1,2,3,2,3,2,3,2,4,3,2,1,2,3,2,0.4
