"","AIC_2","BIC_2","AIC_3","BIC_3","AIC_4","BIC_4","AIC_m","BIC_m"
"iRep=1",260.673315976409,275.333727911963,258.569983068435,287.890806939544,273.038859549133,321.208784480241,3,2
"iRep=2",263.555659376942,278.216071312496,272.9468291773,302.26765304841,281.092368016768,329.262292947876,2,2
"iRep=3",254.120729647754,268.781141583308,260.496575718076,289.817399589185,270.803559785118,318.973484716226,2,2
"iRep=4",268.699343936238,283.359755871793,278.826546666705,308.147370537815,283.282211601854,331.452136532962,2,2
"iRep=5",264.76447411232,279.424886047875,269.238558473529,298.559382344638,275.131337135735,323.301262066843,2,2
"iRep=6",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=7",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=8",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=9",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=10",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=11",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=12",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=13",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=14",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=15",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=16",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=17",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=18",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=19",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=20",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=21",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=22",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=23",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=24",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=25",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=26",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=27",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=28",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=29",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=30",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=31",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=32",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=33",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=34",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=35",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=36",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=37",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=38",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=39",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=40",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=41",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=42",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=43",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=44",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=45",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=46",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=47",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=48",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=49",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=50",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=51",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=52",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=53",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=54",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=55",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=56",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=57",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=58",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=59",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=60",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=61",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=62",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=63",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=64",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=65",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=66",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=67",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=68",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=69",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=70",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=71",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=72",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=73",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=74",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=75",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=76",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=77",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=78",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=79",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=80",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=81",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=82",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=83",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=84",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=85",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=86",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=87",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=88",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=89",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=90",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=91",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=92",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=93",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=94",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=95",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=96",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=97",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=98",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=99",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=100",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=101",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=102",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=103",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=104",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=105",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=106",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=107",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=108",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=109",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=110",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=111",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=112",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=113",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=114",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=115",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=116",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=117",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=118",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=119",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=120",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=121",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=122",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=123",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=124",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=125",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=126",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=127",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=128",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=129",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=130",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=131",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=132",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=133",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=134",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=135",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=136",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=137",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=138",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=139",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=140",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=141",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=142",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=143",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=144",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=145",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=146",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=147",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=148",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=149",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=150",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=151",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=152",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=153",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=154",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=155",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=156",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=157",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=158",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=159",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=160",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=161",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=162",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=163",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=164",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=165",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=166",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=167",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=168",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=169",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=170",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=171",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=172",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=173",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=174",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=175",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=176",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=177",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=178",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=179",NA,NA,NA,NA,NA,NA,NA,NA
"iRep=180",NA,NA,NA,NA,NA,NA,NA,NA
