"","t=1","t=2","t=3","t=4","t=5","t=6","t=7","t=8","t=9","t=10","t=11","t=12","t=13","t=14","t=15","t=16","t=17","t=18","t=19","t=20","t=21","t=22","t=23","t=24","t=25","t=26","t=27","t=28","t=29","t=30","t=31","t=32","t=33","t=34","t=35","t=36","t=37","t=38","t=39","t=40","t=41","t=42","t=43","t=44","t=45","t=46","t=47","t=48","t=49","t=50","t=51","t=52","t=53","t=54","t=55","t=56","t=57","t=58","t=59","t=60","accuracy"
"iRep=74",2,2,3,3,1,3,3,3,3,1,3,3,3,1,1,3,3,1,3,1,3,3,3,3,1,3,1,3,3,1,3,1,2,2,2,3,1,3,3,1,1,3,3,1,3,3,1,3,3,3,3,1,3,1,3,3,1,3,3,3,0.7
"iRep=75",1,2,1,2,1,2,1,2,1,2,3,3,2,1,2,1,2,3,2,3,2,1,2,3,2,1,1,2,1,2,3,2,1,1,2,1,2,1,2,1,3,2,1,2,1,2,1,1,2,1,2,1,2,1,1,2,1,2,1,2,0.4
"iRep=76",2,2,2,2,2,2,1,2,3,1,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,1,2,1,2,1,2,2,2,2,2,3,3,1,2,1,3,1,2,2,1,2,2,2,1,2,1,2,2,0.433333333333333
"iRep=77",3,2,1,2,1,3,2,1,3,2,1,2,1,3,2,1,3,2,1,3,2,1,3,2,1,2,1,3,2,3,2,1,3,2,1,3,2,1,3,2,1,2,1,3,2,3,2,1,3,2,1,3,2,3,2,1,2,1,3,2,0.633333333333333
"iRep=78",3,3,3,3,3,1,2,2,2,2,2,2,2,1,3,1,3,3,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,3,3,1,3,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,3,0.583333333333333
"iRep=79",1,3,3,1,3,1,3,1,3,3,3,1,3,1,2,1,3,3,3,3,1,3,3,3,1,3,1,3,1,2,2,1,3,1,2,2,2,2,1,3,1,3,1,3,1,3,1,3,1,2,2,1,3,1,3,1,3,1,2,2,0.55
"iRep=80",3,3,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1,2,1,3,3,1,1,2,1,3,3,3,3,1,1,2,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,3,3,1,2,1,0.4
"iRep=81",3,3,1,2,3,1,2,3,1,2,3,1,2,2,3,1,2,3,3,1,2,3,1,2,2,3,3,1,2,3,1,2,2,3,1,3,1,2,2,3,1,2,3,3,1,3,1,2,3,1,2,3,1,2,3,1,2,3,3,1,0.666666666666667
"iRep=82",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,1,3,3,1,3,1,3,3,1,3,3,3,1,3,3,1,3,1,3,1,3,3,3,1,3,3,0.533333333333333
"iRep=83",2,2,3,1,2,3,1,1,2,3,2,3,1,2,2,2,1,3,2,1,3,3,1,3,3,2,2,2,3,1,3,3,1,3,1,3,1,3,1,1,3,1,3,3,3,1,3,1,3,1,3,3,3,1,3,2,2,2,2,2,0.733333333333333
