"","t=1","t=2","t=3","t=4","t=5","t=6","t=7","t=8","t=9","t=10","t=11","t=12","t=13","t=14","t=15","t=16","t=17","t=18","t=19","t=20","t=21","t=22","t=23","t=24","t=25","t=26","t=27","t=28","t=29","t=30","t=31","t=32","t=33","t=34","t=35","t=36","t=37","t=38","t=39","t=40","t=41","t=42","t=43","t=44","t=45","t=46","t=47","t=48","t=49","t=50","t=51","t=52","t=53","t=54","t=55","t=56","t=57","t=58","t=59","t=60","accuracy"
"iRep=23",3,1,3,1,3,3,3,1,3,1,3,3,3,3,3,1,3,1,2,1,3,3,3,3,1,3,1,3,1,2,3,1,3,3,3,1,2,3,1,3,3,3,1,3,3,3,3,1,2,3,1,2,3,1,2,1,2,3,1,3,0.85
"iRep=24",2,1,3,3,2,1,2,1,3,1,3,3,2,1,3,3,3,3,3,3,1,3,3,1,3,3,3,2,2,1,3,3,1,3,3,3,3,3,2,2,1,2,1,3,3,3,3,1,3,1,3,3,1,3,1,2,1,2,1,3,0.783333333333333
"iRep=25",3,1,2,2,2,2,3,1,2,3,1,3,1,2,3,3,3,1,2,1,2,1,3,3,3,1,2,3,1,3,1,2,2,3,1,2,2,2,1,2,2,3,3,1,3,3,3,1,2,3,3,3,1,2,3,1,3,3,3,1,0.7
"iRep=26",3,1,3,3,1,3,1,3,3,2,2,2,2,1,3,1,3,1,3,3,1,3,3,3,1,3,3,3,3,2,2,2,2,2,2,1,3,1,3,1,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,1,3,3,1,3,0.783333333333333
"iRep=27",1,2,1,2,1,3,1,2,1,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,2,2,1,2,1,3,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,3,3,1,2,1,2,1,2,0.55
"iRep=28",3,1,3,1,3,2,2,3,2,2,3,1,2,3,1,2,3,1,3,2,2,3,1,3,1,2,2,2,3,2,3,1,2,2,3,1,2,3,1,2,3,1,3,1,3,1,3,2,2,2,3,2,3,2,2,3,1,2,2,3,0.533333333333333
"iRep=29",2,3,1,3,3,1,1,3,1,3,1,3,1,2,1,3,3,1,3,1,2,3,1,2,1,3,3,3,3,1,3,3,1,2,2,1,2,3,3,1,2,1,3,1,3,1,2,2,1,1,2,2,3,1,3,3,2,3,1,3,0.633333333333333
"iRep=30",3,3,1,2,3,1,3,1,3,3,1,3,3,3,1,3,1,2,3,3,1,3,1,2,3,3,3,1,2,3,3,1,2,3,1,2,1,3,3,3,1,3,3,3,3,1,2,1,2,3,1,3,3,3,3,1,2,1,2,3,0.733333333333333
"iRep=31",3,3,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,0.4
"iRep=32",3,1,3,3,3,1,3,1,3,1,3,1,2,2,2,2,2,2,1,3,1,3,1,3,1,3,3,1,3,1,2,2,2,2,2,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,1,3,3,1,3,3,1,3,0.683333333333333
"iRep=33",2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,1,1,3,3,1,3,3,3,1,3,1,1,3,1,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,3,1,3,2,2,2,2,0.583333333333333
"iRep=34",3,3,3,1,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,1,3,1,3,3,1,1,1,1,3,3,3,2,2,2,1,1,1,3,2,2,2,2,2,2,2,1,1,1,3,1,3,3,2,2,2,1,3,3,0.533333333333333
"iRep=36",3,3,1,3,1,3,1,3,1,3,3,3,1,3,3,1,3,2,2,1,3,3,3,3,3,3,3,3,3,3,2,2,1,3,3,1,3,3,2,1,3,1,3,1,3,3,2,2,1,1,3,3,2,2,1,3,3,3,3,3,0.666666666666667
"iRep=37",2,1,3,3,1,3,3,1,1,2,1,1,2,1,1,2,1,2,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,3,3,3,3,1,2,1,2,1,1,2,1,2,1,2,1,2,0.65
"iRep=38",1,3,1,1,3,3,3,2,1,3,1,1,3,2,1,1,3,1,2,1,3,1,3,2,1,3,1,3,3,3,3,1,2,1,3,2,1,3,1,2,1,3,3,1,3,3,1,1,1,3,1,2,1,1,3,2,1,1,1,3,0.666666666666667
"iRep=39",2,2,2,2,2,2,1,2,1,2,2,1,2,1,2,2,2,1,2,2,1,3,2,1,2,1,2,2,1,2,1,2,1,2,1,3,3,2,1,3,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,0.483333333333333
"iRep=40",3,1,2,1,2,1,3,2,1,2,1,3,2,3,2,1,2,1,3,2,1,3,2,1,3,1,2,1,2,1,2,3,2,3,2,3,1,3,2,3,2,1,3,2,1,2,1,3,2,1,3,2,1,2,3,2,1,2,3,2,0.583333333333333
"iRep=41",3,3,1,3,1,3,1,2,1,3,1,1,3,1,1,3,1,2,2,2,1,3,1,3,1,3,1,3,1,3,1,3,3,1,2,3,1,2,1,3,1,3,3,1,3,1,3,1,3,1,1,2,3,3,1,2,1,1,3,1,0.7
"iRep=42",1,3,2,2,2,1,3,2,2,1,3,2,2,2,2,2,1,3,2,2,1,3,2,1,3,2,1,3,2,2,2,1,3,1,3,3,2,1,3,3,3,2,1,3,2,1,3,2,2,1,3,3,2,1,3,3,3,3,2,1,0.5
"iRep=43",3,1,3,3,3,1,3,1,1,3,1,1,3,3,1,3,1,1,2,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,1,3,3,1,2,2,3,3,1,3,3,3,1,3,1,3,3,1,3,3,1,1,1,2,2,3,0.65
"iRep=44",2,3,3,3,1,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,1,3,1,3,3,3,1,2,2,3,3,1,3,3,1,1,2,2,3,3,3,3,1,3,3,3,3,3,3,3,1,2,2,3,3,0.633333333333333
"iRep=45",2,1,3,1,3,3,1,3,1,3,2,2,1,3,1,3,3,1,3,3,1,3,1,3,3,1,3,3,1,3,1,3,1,3,3,3,1,3,1,3,1,3,3,1,3,1,3,2,2,2,1,3,3,3,1,3,1,3,3,1,0.583333333333333
"iRep=46",2,2,2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,2,2,2,2,1,3,3,3,1,3,3,3,1,3,2,2,1,3,1,2,2,1,2,1,3,3,1,1,2,1,2,2,0.65
"iRep=47",1,2,2,1,3,2,2,3,1,3,1,3,3,1,3,3,3,1,3,3,1,2,1,3,3,3,1,3,3,1,2,3,1,2,1,2,3,1,2,2,2,3,2,3,1,2,1,3,1,3,3,1,3,3,1,2,2,2,2,2,0.816666666666667
"iRep=48",2,2,2,2,1,1,3,3,3,3,3,3,1,3,1,3,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,1,3,3,3,1,3,1,0.633333333333333
"iRep=49",3,1,2,1,3,3,1,2,3,3,3,1,2,2,1,2,1,3,1,2,3,3,3,1,2,3,1,3,3,3,1,3,3,1,2,1,3,1,1,3,3,1,3,1,2,3,1,3,1,3,1,2,1,3,3,3,1,3,1,2,0.75
"iRep=50",2,2,3,3,1,2,2,2,3,3,3,1,3,1,2,2,3,1,3,1,3,1,1,1,2,2,2,3,1,3,1,1,3,3,1,1,1,2,3,1,2,2,2,3,1,3,3,3,3,1,2,3,1,1,2,2,2,2,2,2,0.566666666666667
"iRep=51",2,1,3,2,2,2,1,3,2,2,2,2,2,2,2,1,3,2,2,1,3,2,2,2,1,3,2,1,3,2,1,3,2,2,1,3,2,2,1,3,2,1,3,2,1,3,2,2,2,2,2,1,3,3,2,2,2,2,2,2,0.416666666666667
"iRep=52",3,3,1,2,3,1,2,2,2,3,3,3,2,1,2,1,2,1,2,2,3,1,3,1,2,3,1,2,3,1,2,3,1,2,1,2,1,2,3,1,3,1,2,3,3,2,3,1,2,2,3,3,1,2,2,3,1,2,2,3,0.616666666666667
"iRep=53",2,1,2,1,2,1,2,1,1,3,3,3,3,1,2,1,1,2,1,3,3,3,3,3,3,3,1,2,3,1,1,2,1,2,1,2,3,3,3,3,3,1,2,1,1,1,2,1,3,3,1,2,3,1,1,2,1,2,3,3,0.616666666666667
"iRep=54",1,3,3,1,3,3,1,3,3,1,2,2,2,2,2,2,2,1,3,1,3,3,1,3,1,3,3,2,2,3,3,1,3,1,2,2,2,3,3,1,3,3,3,3,3,1,3,1,3,3,3,3,3,3,1,2,2,2,1,3,0.7
"iRep=55",3,1,3,3,3,1,3,1,3,1,3,3,3,1,3,1,3,3,2,2,2,2,1,3,3,3,1,3,3,3,3,1,3,1,3,2,2,1,3,3,1,3,3,1,3,2,2,1,3,3,1,3,2,2,2,1,3,3,1,3,0.616666666666667
"iRep=56",3,1,2,1,3,1,2,3,1,2,3,2,1,3,1,3,1,2,1,2,1,1,2,1,2,1,2,1,3,1,3,2,1,3,2,1,2,1,3,3,1,2,1,3,2,3,2,1,2,3,2,1,2,1,2,1,3,2,1,3,0.566666666666667
"iRep=57",3,3,1,3,1,3,1,3,3,1,3,1,3,1,2,2,1,3,3,3,1,3,1,3,1,2,2,2,1,3,3,3,1,3,1,3,3,3,1,3,1,3,3,1,2,2,2,1,3,3,1,3,3,1,3,1,3,3,3,3,0.6
"iRep=58",2,3,3,1,3,3,1,3,3,3,1,3,3,3,1,3,3,1,3,1,3,1,3,1,2,2,2,2,2,2,3,1,2,2,2,2,2,3,3,3,3,3,1,3,3,3,3,1,2,2,2,2,3,1,2,2,3,3,3,1,0.766666666666667
"iRep=59",3,1,2,2,3,1,3,1,3,1,3,1,3,1,2,3,1,2,1,3,1,2,2,3,3,1,2,1,3,1,2,3,1,2,1,2,2,3,3,1,3,1,2,2,3,1,3,1,2,1,3,3,1,2,3,1,2,3,1,2,0.616666666666667
"iRep=60",1,2,3,1,2,3,1,2,3,1,1,2,3,1,3,1,3,1,2,3,1,2,3,1,1,1,2,3,3,1,2,3,1,3,1,2,3,1,2,3,1,2,3,3,3,1,2,3,1,2,3,1,1,1,1,2,3,1,2,3,0.6
"iRep=61",3,2,2,3,1,3,3,1,3,1,3,3,2,3,3,3,3,3,2,2,2,2,2,2,2,2,3,1,1,3,1,1,3,3,3,2,2,2,2,3,1,1,3,1,1,1,1,3,3,2,3,2,3,2,2,2,2,2,2,2,0.566666666666667
"iRep=62",2,3,1,3,1,3,1,3,3,1,3,3,2,1,2,2,3,1,2,1,2,1,3,2,3,3,3,1,2,3,3,1,1,3,3,3,1,2,3,2,3,1,2,3,3,2,3,3,1,2,1,3,3,1,3,3,3,1,2,3,0.633333333333333
"iRep=63",1,3,1,3,1,2,1,3,1,3,1,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,1,3,1,2,1,3,1,3,3,1,3,1,3,1,3,1,3,3,1,3,1,3,1,3,3,1,3,1,3,3,1,2,2,1,0.683333333333333
"iRep=64",3,1,1,3,1,3,3,1,3,1,3,3,3,1,3,1,3,1,3,3,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,1,2,2,2,2,1,3,1,1,2,1,3,1,2,2,2,2,2,0.65
"iRep=65",3,3,3,3,3,1,2,1,2,1,2,1,3,1,2,1,3,3,3,2,1,3,3,3,1,3,3,2,1,3,2,1,3,1,2,1,2,1,3,3,3,3,1,3,3,3,3,1,3,3,2,1,3,3,2,1,2,1,2,1,0.6
"iRep=66",1,3,3,1,3,1,2,2,2,1,2,2,2,2,2,2,3,3,1,3,1,3,1,3,1,2,2,2,2,2,2,2,3,1,3,3,1,3,1,3,3,3,1,3,3,1,3,3,1,3,1,3,3,3,1,3,1,3,1,3,0.65
"iRep=67",1,1,3,1,3,3,3,3,2,3,3,3,3,1,1,3,1,1,3,3,2,3,3,3,1,3,3,1,1,1,1,1,1,3,2,3,2,3,3,3,1,3,3,2,3,2,3,3,2,3,2,3,1,1,3,3,3,3,3,3,0.616666666666667
"iRep=68",1,3,1,3,2,1,3,3,3,1,3,1,3,1,3,1,3,1,3,3,3,1,2,1,3,3,3,1,3,1,2,1,3,1,3,3,1,3,3,2,1,3,3,2,1,3,1,3,3,1,2,1,3,1,3,3,2,1,3,3,0.7
"iRep=69",3,1,2,3,1,2,3,2,3,1,3,1,3,2,3,2,3,1,2,3,1,2,3,1,2,1,3,1,1,2,3,2,2,3,1,2,3,1,2,3,1,3,1,3,1,3,1,2,3,1,3,2,3,1,2,3,1,2,3,1,0.7
"iRep=70",3,2,2,2,2,1,2,3,1,2,2,3,2,2,2,2,2,1,2,2,2,1,3,1,2,1,2,1,2,2,1,2,2,3,1,1,2,3,2,2,2,2,2,2,2,3,1,1,1,2,2,2,3,1,2,2,1,2,2,2,0.5
"iRep=71",3,3,1,2,3,1,3,3,1,1,2,3,1,1,2,3,3,3,3,3,1,3,1,2,3,1,3,3,1,1,3,1,1,1,1,2,3,1,1,2,3,1,1,2,3,1,2,3,1,2,3,3,1,1,1,1,2,3,1,3,0.566666666666667
"iRep=72",2,3,2,3,1,2,1,2,3,2,3,3,3,2,1,2,3,3,2,3,2,3,3,3,3,2,1,2,1,2,3,3,2,1,2,3,2,3,2,1,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3,2,1,2,3,2,0.516666666666667
"iRep=73",2,1,3,1,2,2,1,3,2,1,3,2,1,2,2,1,2,1,3,2,2,1,2,1,3,3,1,3,2,1,3,3,1,3,1,2,2,1,1,3,2,1,3,1,2,1,3,1,2,2,2,1,3,1,2,2,2,1,2,1,0.65
