"","AIC_2","BIC_2","AIC_3","BIC_3","AIC_4","BIC_4","AIC_m","BIC_m"
"iRep=1",307.608842098776,318.080564909886,314.115843672444,337.153633856888,325.699437445606,365.491984127826,2,2
"iRep=2",296.868643230744,307.340366041854,297.862678945968,320.900469130412,305.170771706349,344.963318388569,2,2
"iRep=3",282.502942332931,292.974665144042,288.243252521576,311.281042706019,300.202372244664,339.994918926884,2,2
"iRep=4",297.043469696439,307.51519250755,303.16647957392,326.204269758363,313.13206103978,352.924607722,2,2
"iRep=5",295.215840554603,305.687563365713,304.562654384593,327.600444569036,313.013428701169,352.805975383389,2,2
"iRep=6",296.829623062394,307.301345873505,304.645731756789,327.683521941232,314.439008696159,354.231555378378,2,2
"iRep=7",274.674642667806,285.146365478916,280.329751150317,303.36754133476,294.605060750055,334.397607432275,2,2
"iRep=8",289.895516383225,300.367239194336,298.945110333297,321.98290051774,312.777361012124,352.569907694343,2,2
"iRep=9",310.381299802332,320.853022613443,319.806143548439,342.843933732882,323.392240437381,363.184787119601,2,2
"iRep=10",285.771592344788,296.243315155899,293.597194816895,316.634985001338,306.61243392804,346.40498061026,2,2
"iRep=11",279.683363380717,290.155086191828,285.960831808593,308.998621993036,298.821801214819,338.614347897039,2,2
"iRep=12",288.551934764026,299.023657575137,293.20108106328,316.238871247724,306.601438020427,346.393984702646,2,2
"iRep=13",290.219030149569,300.690752960679,297.246491082027,320.28428126647,310.370851831918,350.163398514138,2,2
"iRep=14",296.867997429166,307.339720240277,307.724936893947,330.76272707839,322.913199931882,362.705746614102,2,2
"iRep=15",305.105725757961,315.577448569071,316.348070092214,339.385860276657,326.124927563768,365.917474245988,2,2
"iRep=16",294.791815909161,305.263538720272,301.269105069988,324.306895254432,314.761734572685,354.554281254905,2,2
"iRep=17",270.100443290016,280.572166101126,277.102180827629,300.139971012072,289.32742368165,329.11997036387,2,2
"iRep=18",301.92714734234,312.39887015345,309.728606390778,332.766396575221,312.15527193051,351.947818612729,2,2
"iRep=19",303.720810906349,314.192533717459,311.500942557355,334.538732741798,316.725886402285,356.518433084505,2,2
"iRep=20",308.13354175934,318.605264570451,312.402611758513,335.440401942956,324.283047332664,364.075594014884,2,2
"iRep=21",305.039381766251,315.511104577362,314.213558148484,337.251348332927,319.306831655334,359.099378337554,2,2
"iRep=22",280.250267875608,290.721990686718,291.699107548914,314.736897733357,297.069576200999,336.862122883219,2,2
"iRep=23",307.249382277609,317.721105088719,316.310848269326,339.348638453769,323.758063016305,363.550609698525,2,2
"iRep=24",308.35202298553,318.823745796641,305.340701398883,328.378491583327,317.567178646244,357.359725328464,3,2
"iRep=25",278.215450391814,288.687173202924,287.591511080562,310.629301265006,297.134833616543,336.927380298763,2,2
"iRep=26",295.883418297076,306.355141108187,296.885735095385,319.923525279828,307.986491987777,347.779038669997,2,2
"iRep=27",300.993697948254,311.465420759365,303.028897107937,326.06668729238,316.14506355455,355.93761023677,2,2
"iRep=28",299.500857766663,309.972580577774,305.696702814201,328.734492998644,314.173383874167,353.965930556387,2,2
"iRep=29",286.03839114429,296.5101139554,296.251334287095,319.289124471538,307.003804171863,346.796350854083,2,2
"iRep=30",283.305594026395,293.777316837505,294.479200842235,317.516991026678,305.644808731534,345.437355413754,2,2
"iRep=31",291.393925708997,301.865648520108,299.369131842916,322.406922027359,312.77798922034,352.57053590256,2,2
"iRep=32",293.268797483881,303.740520294992,297.029826956495,320.067617140939,307.715681220662,347.508227902881,2,2
"iRep=33",306.92336767817,317.39509048928,308.402369051635,331.440159236078,322.550711521025,362.343258203245,2,2
"iRep=34",300.024650624961,310.496373436072,306.304659464124,329.342449648567,316.807598005822,356.600144688042,2,2
"iRep=35",286.42537405648,296.897096867591,292.526175263949,315.563965448392,302.688512407485,342.481059089705,2,2
"iRep=36",300.653788803804,311.125511614914,307.040580475277,330.07837065972,317.371353417689,357.163900099909,2,2
"iRep=37",311.161725205558,321.633448016668,318.353534763504,341.391324947948,326.869236575227,366.661783257447,2,2
"iRep=38",294.92922500798,305.400947819091,304.283928015909,327.321718200352,318.359207055669,358.151753737889,2,2
"iRep=39",280.805848885442,291.277571696552,290.309050589397,313.346840773841,304.060939199083,343.853485881303,2,2
"iRep=40",301.62426008259,312.095982893701,310.673646478911,333.711436663354,322.634711022809,362.427257705029,2,2
"iRep=41",295.496934525411,305.968657336522,291.951123155737,314.98891334018,307.072310899467,346.864857581687,3,2
"iRep=42",302.428853087019,312.90057589813,310.439646402579,333.477436587023,319.91395390459,359.706500586809,2,2
"iRep=43",283.285459950766,293.757182761876,286.379888817939,309.417679002382,299.733390853274,339.525937535493,2,2
"iRep=44",293.37306306325,303.84478587436,298.144066775489,321.181856959932,307.15258358013,346.94513026235,2,2
"iRep=45",307.326278861097,317.798001672208,304.293617498936,327.331407683379,315.670732690061,355.463279372281,3,2
"iRep=46",280.464098339566,290.935821150676,287.268971213004,310.306761397447,298.877387429698,338.669934111918,2,2
"iRep=47",311.164809172578,321.636531983688,309.308657185488,332.346447369931,322.584391071412,362.376937753632,3,2
"iRep=48",294.0395524675,304.51127527861,300.457980350332,323.495770534775,309.387651702948,349.180198385168,2,2
"iRep=49",307.267912341962,317.739635153072,306.01509237261,329.052882557053,310.812325763967,350.604872446187,3,2
"iRep=50",277.800968368774,288.272691179884,286.438054251965,309.475844436408,298.539857341077,338.332404023297,2,2
"iRep=51",292.308839787066,302.780562598177,293.371750331836,316.409540516279,307.25027971898,347.0428264012,2,2
