"","mean1","mean2","mean3","var1","var2","var3","init1","init2","init3","transP11","transP21","transP31","transP12","transP22","transP32","transP13","transP23","transP33"
"truth",0,2,4,1,4,2,0.1,0.3,0.6,0.1,0.25,0.4,0.2,0.5,0.15,0.7,0.25,0.45
"bias",-0.138446440170305,0.0448328594949605,0.373754389707841,-0.147536437590093,-1.90472057908164,-0.55814925825983,0.0978087449720955,-0.00219853138150172,-0.0956102135905937,0.0309203657152477,0.0781950880382716,0.00328156527048468,0.11102240660044,-0.0997138749738567,0.0773887838273516,-0.141942772315687,0.0215187869355851,-0.0806703490978363
"variance",0.251458151463543,0.77514647598108,0.33132325905614,0.411799176886814,4.29810516377247,0.730801429226279,0.156140124843866,0.205623706387504,0.245901426654147,0.0230899881087932,0.0929903135547251,0.0544969554603613,0.079772470284324,0.0951686864460165,0.0571239899298993,0.0865664819105866,0.087210886346357,0.0394373365920746
"MSE",0.270625568259372,0.777156461271575,0.471015602882021,0.433566177303589,7.92606564814956,1.04233202372228,0.165706675436883,0.205628539927739,0.255042739596986,0.0240460571247578,0.0991047853480381,0.0545077241309858,0.0920984450516774,0.105111543308318,0.0631130137921758,0.10671423252325,0.0876739445375361,0.0459450418156414
