"","mean1","mean2","var1","var2","init1","init2","transP11","transP21","transP12","transP22"
"truth",0,4,1,4,0.2,0.8,0.8,0.25,0.2,0.75
"bias",0.0215447326349636,0.0896305513541584,-0.0191063081021228,-0.418863209541864,0.0710944975779721,-0.0710944975779721,-0.00847454131523051,0.0343867536861663,0.00847454131523043,-0.0343867536861663
"variance",0.0631139375641236,0.340684860981034,0.121834339425194,2.24207195942463,0.193480539647287,0.193480539647287,0.00856919267970553,0.0165435818236557,0.00856919267970553,0.0165435818236557
"MSE",0.0635781130684356,0.348718496717085,0.122199390434487,2.41751834773235,0.198534967233151,0.198534967233151,0.00864101053020908,0.0177260306527288,0.00864101053020908,0.0177260306527288
