"","AIC_2","BIC_2","AIC_3","BIC_3","AIC_4","BIC_4","AIC_m","BIC_m"
"iRep=1",279.583907173541,290.055629984652,288.177505685147,311.21529586959,299.577945426946,339.370492109166,2,2
"iRep=2",251.643171190448,262.114894001559,261.409732819012,284.447523003455,273.599616234652,313.392162916872,2,2
"iRep=3",258.234431924347,268.706154735458,270.214179074932,293.251969259376,275.97868456745,315.77123124967,2,2
"iRep=4",263.089338708363,273.561061519474,273.002422880996,296.040213065439,285.505738493454,325.298285175674,2,2
"iRep=5",265.048437283563,275.520160094673,273.410451319456,296.448241503899,287.055854333068,326.848401015288,2,2
"iRep=6",282.046675373767,292.518398184877,285.298235619652,308.336025804095,301.317414512437,341.109961194657,2,2
"iRep=7",266.23842021091,276.710143022021,276.891538203131,299.929328387574,288.760172224749,328.552718906969,2,2
"iRep=8",276.231045212019,286.702768023129,286.362572075791,309.400362260235,297.833721209239,337.626267891459,2,2
"iRep=9",259.215044053017,269.686766864128,270.105527221929,293.143317406372,283.614319199232,323.406865881451,2,2
"iRep=10",272.074274610167,282.545997421277,280.827176512173,303.864966696616,296.781606556174,336.574153238394,2,2
"iRep=11",259.666111084685,270.137833895795,260.776491279775,283.814281464218,271.667206461275,311.459753143495,2,2
"iRep=12",280.793162310088,291.264885121199,291.326320920272,314.364111104715,302.040467269347,341.833013951567,2,2
"iRep=13",277.245088625532,287.716811436643,286.418009424159,309.455799608602,300.108978649079,339.901525331299,2,2
"iRep=14",263.520267187264,273.991989998375,265.440617329998,288.478407514441,281.288074697056,321.080621379276,2,2
"iRep=15",280.248863756993,290.720586568104,289.041298167257,312.0790883517,296.862232301952,336.654778984172,2,2
"iRep=16",269.361307444237,279.833030255348,280.616760872548,303.654551056991,291.616849450474,331.409396132694,2,2
"iRep=17",271.216539654938,281.688262466049,276.69232149634,299.730111680783,288.237435795237,328.029982477457,2,2
"iRep=18",263.53526526357,274.006988074681,274.948334074927,297.98612425937,282.894626846554,322.687173528774,2,2
"iRep=19",277.37629022036,287.84801303147,282.948896692882,305.986686877325,299.047459527815,338.840006210035,2,2
"iRep=20",280.12080081959,290.592523630701,289.414651898757,312.4524420832,301.699932861917,341.492479544137,2,2
"iRep=21",284.14367395964,294.61539677075,293.631885691597,316.66967587604,303.995393775369,343.787940457589,2,2
"iRep=22",256.750195781064,267.221918592174,265.833655984138,288.871446168581,278.707633916907,318.500180599127,2,2
"iRep=23",282.031193854382,292.502916665493,288.896347032739,311.934137217182,298.392431403622,338.184978085842,2,2
"iRep=24",266.033273616096,276.504996427206,273.854081618751,296.891871803195,283.015381677019,322.807928359239,2,2
"iRep=25",264.192399676065,274.664122487176,266.153567885853,289.191358070297,279.630567070865,319.423113753085,2,2
"iRep=26",273.294332550687,283.766055361798,282.895487406671,305.933277591115,298.229930557519,338.022477239739,2,2
"iRep=27",276.021600182339,286.49332299345,281.057012983729,304.094803168172,291.933341633428,331.725888315648,2,2
"iRep=28",282.512552029833,292.984274840944,287.937766466707,310.97555665115,297.478396993851,337.270943676071,2,2
"iRep=29",270.303153549306,280.774876360416,277.010367046958,300.048157231401,289.191782826228,328.984329508448,2,2
