"","lambda1","lambda2","lambda3","init1","init2","init3","transP11","transP21","transP31","transP12","transP22","transP32","transP13","transP23","transP33"
"truth",1,3,5,0.1,0.3,0.6,0.1,0.25,0.4,0.2,0.5,0.15,0.7,0.25,0.45
"bias",-0.136110747633153,0.18439872996594,0.561351205170088,0.0871161158142994,0.0709028519385578,-0.158018967752857,-0.0123096521677763,0.0372182757649412,0.0154543760439039,0.136830267745561,-0.00922885376419896,0.121000329285779,-0.124520615577784,-0.0279894220007423,-0.136454705329683
"variance",0.271448726679947,0.652604794370259,1.07564715927727,0.152091517317535,0.231734467437425,0.245197942284181,0.017999984452867,0.0913934059159829,0.0836084405515239,0.111741932014626,0.096693358567097,0.0789573976129952,0.111467974297615,0.0714693646201292,0.0568341794494553
"MSE",0.289974862301203,0.686607685983311,1.39076233482318,0.159680734952106,0.236761681850446,0.270167936453859,0.0181515119893586,0.0927786059668981,0.0838472782904302,0.130464454185947,0.096778530308898,0.0935984773002621,0.126973358001485,0.0722527723640648,0.0754540660560658
