"","AIC_2","BIC_2","AIC_3","BIC_3","AIC_4","BIC_4","AIC_m","BIC_m"
"iRep=666",234.760113784823,245.231836595933,243.221067568944,266.258857753387,259.081585003622,298.874131685842,2,2
"iRep=667",233.413826851357,243.885549662468,238.828937447216,261.86672763166,254.471191274812,294.263737957031,2,2
"iRep=668",214.48127702076,224.95299983187,219.428990208465,242.466780392908,230.061438253134,269.853984935354,2,2
"iRep=669",200.433692176572,210.905414987683,209.7796662762,232.817456460643,219.396911432372,259.189458114592,2,2
"iRep=670",193.735759439342,204.207482250453,204.054568194548,227.092358378991,217.365552803903,257.158099486123,2,2
"iRep=671",216.042068267802,226.513791078913,225.719502763089,248.757292947532,239.984092781664,279.776639463884,2,2
"iRep=672",226.457139866232,236.928862677343,235.948884162279,258.986674346722,250.593045396718,290.385592078938,2,2
"iRep=673",210.003288420629,220.47501123174,220.02639888653,243.064189070973,233.345345004495,273.137891686715,2,2
"iRep=674",198.670448083025,209.142170894136,210.663536988123,233.701327172566,225.282465821989,265.075012504209,2,2
"iRep=675",219.08474546995,229.55646828106,226.001992956485,249.039783140928,238.647498701252,278.440045383472,2,2
"iRep=676",221.837706643734,232.309429454844,229.754863056391,252.792653240834,244.640698544952,284.433245227171,2,2
"iRep=677",228.470763372937,238.942486184047,237.283274812293,260.321064996736,251.136148677825,290.928695360045,2,2
"iRep=678",212.746171933464,223.217894744575,224.643129287982,247.680919472425,237.882833992966,277.675380675185,2,2
"iRep=679",221.286211469836,231.757934280946,229.163808926146,252.201599110589,243.061716118635,282.854262800855,2,2
"iRep=680",224.74372167688,235.21544448799,234.285192147192,257.322982331635,247.404722976645,287.197269658865,2,2
"iRep=681",238.678084852434,249.149807663545,249.965793944582,273.003584129025,263.824816529578,303.617363211798,2,2
"iRep=682",233.475475853599,243.94719866471,238.718760298872,261.756550483316,250.683565260642,290.476111942861,2,2
"iRep=683",216.275450667204,226.747173478315,225.087552359864,248.125342544307,234.501089900691,274.293636582911,2,2
"iRep=684",211.055934486715,221.527657297826,218.738030587248,241.775820771691,233.020704905128,272.813251587348,2,2
"iRep=685",223.887076891806,234.358799702916,234.542027458484,257.579817642927,249.739245399674,289.531792081894,2,2
"iRep=686",201.000414017497,211.472136828608,210.568603432993,233.606393617436,224.803469587575,264.596016269795,2,2
"iRep=687",218.392140915055,228.863863726166,226.552677906188,249.590468090631,235.251137437346,275.043684119566,2,2
"iRep=688",237.97522993131,248.44695274242,245.298337603177,268.33612778762,260.510820324507,300.303367006727,2,2
"iRep=689",210.570238457471,221.041961268582,220.900805316161,243.938595500604,234.740415789102,274.532962471322,2,2
"iRep=690",214.445291280675,224.917014091786,222.002361200603,245.040151385046,234.791686529685,274.584233211904,2,2
"iRep=691",230.075454072317,240.547176883428,236.683068069812,259.720858254255,252.661735927013,292.454282609233,2,2
"iRep=692",224.270203633507,234.741926444617,235.325405416046,258.363195600489,243.356287384001,283.148834066221,2,2
"iRep=693",222.507775576564,232.979498387675,232.300321586732,255.338111771175,247.065339765114,286.857886447334,2,2
"iRep=694",213.100903608179,223.572626419289,221.772480339875,244.810270524318,234.053740033924,273.846286716144,2,2
"iRep=695",219.238017820736,229.709740631847,224.706096491573,247.743886676016,238.773739220123,278.566285902343,2,2
"iRep=696",224.068666919842,234.540389730953,232.963752027524,256.001542211967,247.421560027389,287.214106709609,2,2
"iRep=697",215.198276489798,225.669999300909,223.563808193452,246.601598377895,234.535599673111,274.328146355331,2,2
"iRep=698",208.553598720109,219.025321531219,216.813319191752,239.851109376195,232.735334301851,272.527880984071,2,2
"iRep=699",245.912638994158,256.384361805268,256.163470563104,279.201260747547,267.238465074925,307.031011757145,2,2
"iRep=700",229.027378767154,239.499101578264,238.614451077794,261.652241262237,252.342257005694,292.134803687914,2,2
"iRep=701",221.617691435795,232.089414246906,230.574501751418,253.612291935861,246.010846755887,285.803393438107,2,2
"iRep=702",194.303894225533,204.775617036644,206.268877465171,229.306667649614,222.24699463922,262.03954132144,2,2
"iRep=703",185.659696616953,196.131419428064,192.145124211343,215.182914395786,203.733434329762,243.525981011982,2,2
"iRep=704",223.515388474749,233.98711128586,233.98367383492,257.021464019363,244.184005929582,283.976552611802,2,2
