"","AIC_2","BIC_2","AIC_3","BIC_3","AIC_4","BIC_4","AIC_m","BIC_m"
"iRep=1",261.946717128901,276.607129064456,271.409801718299,300.730625589408,282.039479057198,330.209403988306,2,2
"iRep=2",268.62665128717,283.287063222725,271.838749068068,301.159572939177,278.000741308149,326.170666239257,2,2
"iRep=3",268.509182128381,283.169594063936,276.107211932072,305.428035803181,287.632419391869,335.802344322978,2,2
"iRep=4",270.957816493057,285.618228428612,277.883954767283,307.204778638393,279.297128171094,327.467053102202,2,2
"iRep=5",263.405292118333,278.065704053888,268.322811515406,297.643635386516,275.430181402099,323.600106333207,2,2
"iRep=6",225.511377068004,240.171789003559,221.147467283572,250.468291154681,228.385102140324,276.555027071433,3,2
"iRep=7",237.80456656096,252.464978496514,250.093766453701,279.414590324811,256.009766052121,304.179690983229,2,2
"iRep=8",281.649232270958,296.309644206512,289.344378092779,318.665201963888,297.613541656883,345.783466587991,2,2
"iRep=9",274.288444460656,288.948856396211,282.732391033152,312.053214904261,291.05290626427,339.222831195378,2,2
"iRep=10",250.585156784682,265.245568720237,259.030035490426,288.350859361535,265.071143064365,313.241067995473,2,2
"iRep=11",221.788721170218,236.449133105772,227.574597458778,256.895421329887,229.171381242595,277.341306173703,2,2
"iRep=12",241.345428776337,256.005840711892,247.648290432438,276.969114303547,246.434191784578,294.604116715686,2,2
"iRep=13",260.962050390349,275.622462325904,269.467911966872,298.788735837981,278.828737599385,326.998662530493,2,2
"iRep=14",231.717473002223,246.377884937778,240.910070247793,270.230894118902,253.287983446651,301.457908377759,2,2
"iRep=15",262.313822248336,276.974234183891,267.856702312977,297.177526184087,279.950049850374,328.119974781482,2,2
"iRep=16",261.292474567898,275.952886503453,269.469663352507,298.790487223616,279.655064893102,327.82498982421,2,2
"iRep=17",239.536098748562,254.196510684116,244.018683523799,273.339507394909,256.985101138866,305.155026069975,2,2
"iRep=18",245.439800909947,260.100212845502,254.033474623849,283.354298494959,256.458954722724,304.628879653833,2,2
"iRep=19",261.101208915366,275.76162085092,271.841089047468,301.161912918577,282.75456240919,330.924487340299,2,2
"iRep=20",269.61567177123,284.276083706785,276.459084358092,305.779908229202,285.793750542249,333.963675473357,2,2
"iRep=21",257.256226162395,271.91663809795,262.15509315366,291.475917024769,271.765700816664,319.935625747772,2,2
"iRep=22",241.874451294167,256.534863229722,246.702309195703,276.023133066812,263.555299070409,311.725224001517,2,2
"iRep=23",286.145672179851,300.806084115405,287.779429922154,317.100253793263,299.777838730245,347.947763661353,2,2
"iRep=24",245.139696469793,259.800108405347,252.196281879386,281.517105750495,259.058989552836,307.228914483944,2,2
"iRep=25",274.828625460271,289.489037395826,283.94237599026,313.263199861369,288.63662203871,336.806546969819,2,2
"iRep=26",269.654895830344,284.315307765899,273.847808451264,303.168632322373,280.077040540812,328.24696547192,2,2
"iRep=27",283.637584203837,298.297996139391,289.524866662849,318.845690533958,301.281841845627,349.451766776735,2,2
